DATE,Home_Price_Index,Interest_Rate,Unemployment_Rate,Inflation_CPI,Building_Permits,Consumer_Sentiment,Housing_Starts,US_Population,Mortgage_Rate,Median_Income,Interest_Rate_lag1,Unemployment_Rate_lag1,Inflation_CPI_lag1,Mortgage_Rate_lag1,Unemployment_Rate_roll3,Consumer_Sentiment_roll3,Income_to_Mortgage_Ratio,Income_to_Unemployment_Ratio,Permit_to_Population_Ratio,CPI_to_Interest_Rate,HPI_lag1,HPI_lag3,Home_Price_Index_Smoothed,Income_pct_change,Unemployment_pct_change,HPI_pct_change
2004-04-01,146.593,1.0,5.6,187.4,2070,94.2,2003,292651,5.83,35730.0,1.0,5.8,187.1,5.445,5.666666666666667,94.8,6128.644939965695,6380.357142857143,0.007073271576041086,187.4,145.058,141.64600000000002,144.94733333333332,0.0,-0.034482758620689724,0.010581974106908865
2004-05-01,148.186,1.0,5.6,188.2,2150,90.2,1981,292872,6.27,35730.0,1.0,5.6,187.4,5.83,5.666666666666667,93.40000000000002,5698.564593301436,6380.357142857143,0.0073410909885547266,188.2,146.593,143.191,146.61233333333334,0.0,0.0,0.01086682174455822
2004-06-01,149.852,1.03,5.6,188.9,2020,95.6,1828,293103,6.2875,35730.0,1.0,5.6,188.2,6.27,5.6,93.33333333333333,5682.703777335984,6380.357142857143,0.006891775246244495,183.39805825242718,148.186,145.058,148.21033333333332,0.0,0.0,0.011242627508671443
2004-07-01,151.338,1.26,5.5,189.1,2112,96.7,2002,293350,6.056,35730.0,1.03,5.6,188.9,6.2875,5.566666666666666,94.16666666666667,5899.933949801849,6496.363636363636,0.00719959093233339,150.07936507936506,149.852,146.593,149.792,0.0,-0.017857142857142794,0.009916450898219464
2004-08-01,152.635,1.43,5.4,189.2,2056,95.9,2024,293603,5.8675,35730.0,1.26,5.5,189.1,6.056,5.5,96.06666666666666,6089.475926714956,6616.666666666666,0.007002653242643978,132.3076923076923,151.338,148.186,151.27499999999998,0.0,-0.018181818181818077,0.008570220301576503
2004-09-01,154.179,1.61,5.4,189.8,2041,94.2,1905,293857,5.754,35730.0,1.43,5.4,189.2,5.8675,5.433333333333334,95.60000000000001,6209.593326381648,6616.666666666666,0.006945555150974794,117.88819875776397,152.635,149.852,152.71733333333333,0.0,0.0,0.010115635339208007
2004-10-01,155.752,1.76,5.5,190.8,2097,91.7,2072,294104,5.7225,35730.0,1.61,5.4,189.8,5.754,5.433333333333334,93.93333333333334,6243.774574049803,6496.363636363636,0.007130130838070886,108.40909090909092,154.179,151.338,154.18866666666665,0.0,0.01851851851851838,0.010202427049079255
2004-11-01,157.528,1.93,5.4,191.7,2079,92.8,1782,294337,5.73,35730.0,1.76,5.5,190.8,5.7225,5.433333333333334,92.89999999999999,6235.602094240838,6616.666666666666,0.007063332166869949,99.32642487046631,155.752,152.635,155.81966666666668,0.0,-0.018181818181818077,0.011402742821921885
2004-12-01,159.33100000000002,2.16,5.4,191.7,2082,97.1,2042,294561,5.752,35730.0,1.93,5.4,191.7,5.73,5.433333333333334,93.86666666666667,6211.7524339360225,6616.666666666666,0.007068145477507205,88.74999999999999,157.528,154.179,157.537,0.0,0.0,0.011445584277081089
2005-01-01,161.289,2.28,5.3,191.6,2139,95.5,2144,294768,5.71,36390.0,2.16,5.4,191.7,5.752,5.366666666666667,95.13333333333333,6373.029772329247,6866.037735849057,0.007256554307116105,84.03508771929825,159.33100000000002,155.752,159.38266666666667,0.018471872376154552,-0.0185185185185186,0.012288882891590358
2005-02-01,163.346,2.5,5.4,192.4,2114,94.1,2207,294955,5.6275,36390.0,2.28,5.3,191.6,5.71,5.366666666666667,95.56666666666666,6466.459351399378,6738.888888888889,0.007167194995846824,76.96000000000001,161.289,157.528,161.322,0.0,0.018867924528301883,0.012753504578737695
2005-03-01,165.81400000000002,2.63,5.2,193.1,2062,92.6,1864,295149,5.928,36390.0,2.5,5.4,192.4,5.6275,5.3,94.06666666666666,6138.663967611336,6998.076923076923,0.006986301833988935,73.42205323193916,163.346,159.33100000000002,163.48299999999998,0.0,-0.03703703703703709,0.015109032360755892
2005-04-01,167.503,2.79,5.2,193.7,2150,87.7,2061,295359,5.855,36390.0,2.63,5.2,193.1,5.928,5.266666666666667,91.46666666666665,6215.200683176771,6998.076923076923,0.007279277083142887,69.42652329749103,165.81400000000002,161.289,165.55433333333335,0.0,0.0,0.010186112149757953
2005-05-01,169.352,3.0,5.1,193.6,2085,86.9,2025,295582,5.72,36390.0,2.79,5.2,193.7,5.855,5.166666666666667,89.06666666666666,6361.888111888112,7135.2941176470595,0.007053880141551245,64.53333333333333,167.503,163.346,167.55633333333333,0.0,-0.019230769230769384,0.011038608263732597
